track_name,genre,artist_name,track_id,year,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Empire State of Mind (Part II) Broken Down,Soul,Alicia Keys,5sra5UY6sD658OabHL3QtI,2010,73,0.739,0.479,216480,0.368,4.10E-05,F#,0.118,-7.784,Major,0.0341,92.959,44655,0.142
Cooler Than Me - Single Mix,Dance,Mike Posner,2V4bv1fNWfTcyRJKmej6Sj,2010,72,0.179,0.768,213293,0.82,0,G,0.704,-4.63,Minor,0.0475,129.969,44655,0.625
Cooler Than Me - Single Mix,Pop,Mike Posner,2V4bv1fNWfTcyRJKmej6Sj,2010,72,0.179,0.768,213293,0.82,0,G,0.704,-4.63,Minor,0.0475,129.969,44655,0.625
Hello,Pop,Adele,4sPmO7WMQUAf45kwMOtONw,2010,72,0.336,0.481,295493,0.451,0,F,0.0872,-6.095,Minor,0.0347,157.966,44655,0.289
Secrets,Pop,The Weeknd,00NAQYOP4AmWR549nnYJZu,2010,72,0.0155,0.665,265600,0.771,9.60E-06,C,0.46,-5.779,Major,0.0533,109.945,44655,0.764
Cooler Than Me - Single Mix,Rap,Mike Posner,2V4bv1fNWfTcyRJKmej6Sj,2010,72,0.179,0.768,213293,0.82,0,G,0.704,-4.63,Minor,0.0475,129.969,44655,0.625
Secrets,Rap,The Weeknd,00NAQYOP4AmWR549nnYJZu,2010,72,0.0155,0.665,265600,0.771,9.60E-06,C,0.46,-5.779,Major,0.0533,109.945,44655,0.764
Secrets,R&B,The Weeknd,00NAQYOP4AmWR549nnYJZu,2010,72,0.0155,0.665,265600,0.771,9.60E-06,C,0.46,-5.779,Major,0.0533,109.945,44655,0.764
Hello,Soul,Adele,4sPmO7WMQUAf45kwMOtONw,2010,72,0.336,0.481,295493,0.451,0,F,0.0872,-6.095,Minor,0.0347,157.966,44655,0.289
Dynamite,Pop,Taio Cruz,1DqdF42leyFIzqNDv9CjId,2010,71,0.00332,0.754,203867,0.804,0,E,0.0329,-3.177,Major,0.0853,119.968,44655,0.818
California Gurls,Pop,Katy Perry,6tS3XVuOyu10897O3ae7bi,2010,71,0.00446,0.791,234653,0.754,0,C,0.163,-3.729,Major,0.0569,125.014,44655,0.425
Dynamite,Rap,Taio Cruz,1DqdF42leyFIzqNDv9CjId,2010,71,0.00332,0.754,203867,0.804,0,E,0.0329,-3.177,Major,0.0853,119.968,44655,0.818
OMG (feat. will.i.am),R&B,Usher,1bM50INir8voAkVoKuvEUI,2010,70,0.198,0.781,269493,0.745,1.14E-05,E,0.36,-5.81,Minor,0.0332,129.998,44655,0.326
Dog Days Are Over,Dance,Florence + The Machine,1YLJVmuzeM2YSUkCCaTNUB,2010,70,0.0416,0.492,251840,0.81,0.00379,G,0.117,-5.315,Major,0.0847,149.954,44655,0.245
Dynamite,Dance,Taio Cruz,1DqdF42leyFIzqNDv9CjId,2010,70,0.00332,0.754,203867,0.804,0,E,0.0329,-3.177,Major,0.0853,119.968,44655,0.818
Teenage Dream,Dance,Katy Perry,55qBw1900pZKfXJ6Q9A2Lc,2010,70,0.0132,0.719,227760,0.804,3.02E-06,A#,0.139,-4.581,Major,0.0355,119.999,44655,0.605
California Gurls,Dance,Katy Perry,6tS3XVuOyu10897O3ae7bi,2010,70,0.00446,0.791,234653,0.754,0,C,0.163,-3.729,Major,0.0569,125.014,44655,0.425
Dog Days Are Over,Folk,Florence + The Machine,1YLJVmuzeM2YSUkCCaTNUB,2010,70,0.0416,0.492,251840,0.81,0.00379,G,0.117,-5.315,Major,0.0847,149.954,44655,0.245
OMG (feat. will.i.am),Hip-Hop,Usher,1bM50INir8voAkVoKuvEUI,2010,70,0.198,0.781,269493,0.745,1.14E-05,E,0.36,-5.81,Minor,0.0332,129.998,44655,0.326
Dog Days Are Over,Pop,Florence + The Machine,1YLJVmuzeM2YSUkCCaTNUB,2010,70,0.0416,0.492,251840,0.81,0.00379,G,0.117,-5.315,Major,0.0847,149.954,44655,0.245
